loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,deviceOrientation,label
1539481607.762985,342,0,0,1539481606.997575,37.79834234624896,-121.9234973007086,192.1367,1.77,167.6953125,4,5,-9999,1539481607.402372,-35.36962890625,-10.03406715393066,20.80313873291016,133.9279632568359,120.5719909667969,10,18795.86905425,1,2,1539481606.039394,18794.778088,0,7.797485,98.71344,3,0
1539481608.766459,343,0,0,1539481606.997575,37.79834234624896,-121.9234973007086,192.1367,1.77,167.6953125,4,5,-9999,1539481608.405469,-21.36240196228027,-25.69141387939453,24.43666076660156,129.7153625488281,116.3593902587891,10,18798.43853516667,3,2,1539481608.608875,18795.728826,0,7.815979,98.71324,3,0
1539481609.769822,344,0,0,1539481608.99757,37.79832197822425,-121.9234982227179,192.0482,1.21,198.984375,4,5,-9999,1539481609.408914,-16.95291900634766,-24.57013320922852,28.92661285400391,128.2474670410156,114.8915023803711,15,18798.43853516667,3,2,1539481608.608875,18796.679434,0,7.818619,98.7132,3,0
1539481610.773048,345,0,0,1539481608.99757,37.79832197822425,-121.9234982227179,192.0482,1.21,198.984375,4,5,-9999,1539481610.412511,-39.93968963623047,-6.347823619842529,12.17317867279053,158.7203216552734,145.3643493652344,15,18798.43853516667,3,2,1539481608.608875,18797.630075,0,7.821259,98.71317,3,0
1539481611.776508,346,0,0,1539481610.997565,37.79831368014011,-121.9234854822251,192.2215,0.76,119.8828125,4,6.910333289214087,-9999,1539481611.415747,-42.44825744628906,8.772825241088867,5.803936958312988,170.1437225341797,156.7877502441406,15,18798.43853516667,3,2,1539481608.608875,18798.580775,0,7.839767,98.71297,3,0
1539481612.801835,347,0,0,1539481610.997565,37.79831368014011,-121.9234854822251,192.2215,0.76,119.8828125,4,6.910333289214087,-9999,1539481612.418977,-33.74821853637695,-7.585485935211182,27.161865234375,123.8859634399414,110.5299987792969,15,18798.43853516667,3,2,1539481608.608875,18799.531512,0,7.847687,98.71284,3,0
1539481613.783304,348,0,0,1539481612.997561,37.798305465875,-121.9234645274672,192.2073,0.76,148.0078125,4,5,-9999,1539481613.423228,-16.43236923217773,-24.70308494567871,33.03120040893555,114.7619934082031,101.4060287475586,15,18798.43853516667,3,2,1539481608.608875,18800.482032,0,7.850327,98.71284,3,0
1539481614.801515,349,0,0,1539481613.999842,37.7983006881902,-121.9234655332956,192.1813,0.8,199.6875,4,5,-9999,1539481614.425582,-17.89171600341797,-4.36309814453125,39.62968444824219,97.29998779296875,83.94402313232422,15,18798.43853516667,3,2,1539481608.608875,18801.432518,0,7.858261,98.71275,3,0
1539481615.789958,350,0,0,1539481614.999851,37.79829746115747,-121.9234717359039,192.1472,0.48,252.7734375,3,5,-9999,1539481615.428979,-31.58577537536621,15.48414039611816,27.72997283935547,91.88292694091797,78.52696228027344,15,18798.43853516667,3,2,1539481608.608875,18802.382935,0,7.876755,98.71252,3,0
1539481616.798568,351,0,0,1539481615.999858,37.79829163573477,-121.9234834705684,192.0613,1.09,234.84375,3,5,-9999,1539481616.432321,-32.44112777709961,16.0355110168457,25.43301773071289,112.3983154296875,99.04235076904297,15,18798.43853516667,3,2,1539481608.608875,18803.333309,0,7.876755,98.71252,3,0
1539481617.796578,352,0,0,1539481616.999868,37.79828132599387,-121.9234924392048,191.7787,1.09,208.828125,3,7.101367974305906,-9999,1539481617.435705,-29.09906005859375,13.58926582336426,29.13772583007812,95.51948547363281,82.16352081298828,15,18798.43853516667,3,2,1539481608.608875,18804.283669,0,7.802765,98.71337,3,0
1539481618.799865,353,0,0,1539481617.999878,37.79826938178185,-121.9234941994044,191.8169,1.09,181.40625,3,7.489283201586277,-9999,1539481618.439065,-26.90987777709961,-33.64095687866211,-12.96389484405518,136.393310546875,123.0373382568359,15,18798.43853516667,3,2,1539481608.608875,18806.184493,0,7.691788,98.71468,3,0
1539481619.805066,354,0,0,1539481618.999885,37.79825706038419,-121.9234946184996,191.8953,1.2,177.1875,3,5,-9999,1539481619.442498,-29.10388374328613,-18.83443260192871,-31.45471954345703,109.500846862793,96.14488220214844,15,18798.43853516667,3,2,1539481608.608875,18807.134879,0,7.617813,98.71555,5,0
1539481620.806597,355,0,0,1539481619.999892,37.79824394270572,-121.9234962110612,192.3123,1.24,184.5703125,3,6.447723255449898,-9999,1539481620.44601,-16.69654083251953,-32.62628936767578,-31.84145355224609,111.1791534423828,97.82318878173828,15,18798.43853516667,3,2,1539481608.608875,18808.08529,0,7.617813,98.71555,5,0
1539481621.810035,356,0,0,1539481620.999896,37.7982285619134,-121.9234976359847,192.5622,1.24,194.0625,3,7.726578589159365,-9999,1539481621.44913,-14.15570449829102,-35.12488555908203,-32.01105880737305,110.4674758911133,97.11151123046875,15,18811.596342875,3,2,1539481621.766683,18809.035856,0,7.678574,98.71484,1,0
1539481622.813358,357,0,0,1539481621.999899,37.79821351639721,-121.9234978874418,192.4205,1.24,185.625,3,8.89865937192298,-9999,1539481622.452946,-21.30062103271484,-26.22218132019043,-35.00887298583984,79.24589538574219,65.88993072509766,15,18811.596342875,3,2,1539481621.766683,18809.986616,0,7.776352,98.71371,5,0
1539481623.84037,358,0,0,1539481622.999906,37.79819918334279,-121.9234923553857,192.3089,1.34,174.375,3,9.040796709128717,-9999,1539481623.456126,-17.05644607543945,-30.5445613861084,-33.06239700317383,96.64982604980469,83.29386138916016,15,18811.596342875,3,2,1539481621.766683,18810.938288,0,7.858261,98.71272,1,0
1539481624.82393,359,0,0,1539481623.999914,37.79818631712142,-121.9234827161971,192.3222,1.34,167.6953125,3,9.452452802989374,-9999,1539481624.459252,-18.27273368835449,-32.69973373413086,-30.7040901184082,108.6266403198242,95.27067565917969,15,18813.84912525,3,2,1539481624.019465,18811.890394,0,7.94809,98.71169,5,0
1539481625.841792,360,0,0,1539481624.999921,37.79817902486566,-121.9234715682659,192.4341,1.12,153.984375,3,9.741313982611302,-9999,1539481625.462502,-25.94594955444336,-26.9632453918457,-30.39466857910156,92.47040557861328,79.11444091796875,15,18813.84912525,3,2,1539481624.019465,18812.842102,0,8.059067,98.71037,5,0
1539481626.827026,361,0,0,1539481625.999926,37.79817407954279,-121.9234605041537,192.3727,0.86,144.84375,3,10.06844732609969,-9999,1539481626.466045,-21.85851669311523,-22.09183502197266,-35.21635055541992,67.25666809082031,53.90069961547852,15,18815.7703025,3,2,1539481625.940642,18813.793242,0,8.077576,98.71015,1,0
1539481627.833531,362,0,0,1539481626.999934,37.79816993050072,-121.9234465063754,192.3633,0.91,126.9140625,3,11.98124560925002,-9999,1539481627.469258,-24.23489379882812,-18.3690128326416,-36.21097946166992,60.63742446899414,47.28145599365234,15,18815.7703025,3,2,1539481625.940642,18814.744394,0,8.085495,98.71007,5,0
1539481628.833649,363,0,0,1539481627.999936,37.79816896658185,-121.9234315027687,192.3477,0.91,121.640625,3,10.9409700535048,-9999,1539481628.472601,-17.1268424987793,1.79683256149292,-44.88941955566406,19.78236198425293,6.426394939422607,15,18815.7703025,3,2,1539481625.940642,18815.695618,0,8.090775,98.71001,5,0
1539481629.837075,364,0,0,1539481628.99994,37.79816980477217,-121.9234180079046,192.1855,0.8,107.9296875,3,9.983750507957559,-9999,1539481629.476181,-19.18429946899414,4.262096405029297,-43.66285705566406,22.93444442749023,9.578475952148438,15,18818.9862745,3,2,1539481629.156614,18816.647,0,8.090775,98.71001,5,0
1539481630.843683,365,0,0,1539481629.999944,37.79817479200456,-121.9234021661076,192.4412,0.56,93.515625,3,8.654173057397177,-9999,1539481630.47944,-17.41402816772461,5.715705394744873,-44.23472595214844,20.56475448608398,7.208787441253662,15,18818.9862745,3,2,1539481629.156614,18817.599259,0,8.048508,98.7105,5,0
1539481631.843733,366,0,0,1539481630.999947,37.79818028215114,-121.9233902638051,192.4338,0.53,77.34375,3,7.595836827055417,-9999,1539481631.482813,-19.87083625793457,3.158998012542725,-43.07564544677734,26.97055816650391,13.61459064483643,15,18821.5550295,3,2,1539481631.725369,18818.550775,0,8.048508,98.7105,5,0
1539481632.847311,367,0,0,1539481631.99995,37.79818028215114,-121.9233902638051,192.4166,0,77.34375,3,12.04628305409461,-9999,1539481632.486212,-13.22651100158691,3.392437934875488,-45.10314559936523,14.60656547546387,1.250597476959229,15,18821.5550295,3,2,1539481631.725369,18819.502355,0,8.072281,98.71023,5,0
1539481633.850574,368,0,0,1539481632.999954,37.79820173982326,-121.9233709854278,192.4041,0.2,178.2421875,3,5,-9999,1539481633.489648,-13.43241310119629,5.129391193389893,-44.85869979858398,14.47365856170654,1.117690801620483,15,18821.5550295,3,2,1539481631.725369,18820.453964,0,8.101349,98.70988,5,0
1539481634.854001,369,0,0,1539481633.999956,37.79820173982326,-121.9233709854278,192.3604,0,128.671875,3,5,-9999,1539481634.492998,-13.55990505218506,5.515489101409912,-45.00600051879883,13.63897895812988,0.2830115854740143,15,18824.1243755,2,0,1539481634.294715,18821.405525,0,8.125137,98.7096,5,0
1539481635.857293,370,0,0,1539481634.999958,37.79820718806032,-121.9233642799053,192.4984,0.29,67.5,3,5,-9999,1539481635.496453,-12.75960540771484,5.324623584747314,-45.02134704589844,12.88062572479248,359.524658203125,15,18824.76082291667,3,2,1539481634.931163,18822.357093,0,8.162125,98.70917,5,0
1539481636.87781,371,0,0,1539481635.99996,37.79821435458753,-121.9233630226198,192.4484,0.34,337.1484375,3,5,-9999,1539481636.499693,-12.87120819091797,6.710731983184814,-44.76301956176758,12.35950756072998,359.0035400390625,15,18824.76082291667,3,2,1539481634.931163,18824.26028,0,8.170044,98.70908,5,0
1539481637.868805,372,0,0,1539481636.999962,37.79822013810072,-121.9233517908695,192.3491,0.34,69.9609375,3,5,-9999,1539481637.503151,-13.02676773071289,6.740623950958252,-45.01942825317383,12.48975658416748,359.1337890625,15,18827.65036479167,2,0,1539481637.820704,18825.211906,0,8.164764,98.70913,5,0
1539481638.875111,373,0,0,1539481637.999963,37.79822038955781,-121.9233449177089,192.3537,0.34,76.2890625,3,5,-9999,1539481638.506421,-12.89570617675781,7.719508647918701,-44.92781829833984,12.77869701385498,359.4227294921875,15,18827.97147725,3,2,1539481638.141817,18826.164467,0,8.146271,98.70936,5,0
1539481639.870711,374,0,0,1539481638.999965,37.79822038955781,-121.9233449177089,192.3834,0,81.9140625,3,5,-9999,1539481639.509947,-13.10024261474609,7.511588573455811,-44.73691558837891,12.78202342987061,359.4260559082031,15,18829.5768595,2,0,1539481639.747199,18827.11716,0,8.140991,98.7094,5,0
