loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,deviceOrientation,label
1539477699.550812,23,0,0,1539477698.999951,37.76689218826384,-121.9588917308691,131.8936,1.08,278.0859375,4,5,-9999,1539477698.984665,-27.69412422180176,-2.002488613128662,-39.29531860351562,302.3966369628906,289.0481262207031,15,14881.10322029167,3,2,1539477691.27356,14886.14767,0,-44.20601,99.32662,1,0
1539477700.546832,24,0,0,1539477698.999951,37.76689218826384,-121.9588917308691,131.8936,1.08,278.0859375,4,5,-9999,1539477699.986156,16.71855735778809,-35.29105377197266,-23.1046257019043,253.4596099853516,240.111083984375,15,14881.10322029167,3,2,1539477691.27356,14887.095389,0,-44.20601,99.32662,1,0
1539477701.53104,25,0,0,1539477700.99995,37.76687647219539,-121.9589131885413,132.068,1.23,226.7578125,4,5,-9999,1539477700.989351,5.638871192932129,-26.90323829650879,-32.32036972045898,244.7071990966797,231.3586730957031,15,14881.10322029167,3,2,1539477691.27356,14888.043096,0,-44.32492,99.32805,1,0
1539477702.79788,26,0,0,1539477700.99995,37.76687647219539,-121.9589131885413,132.068,1.23,226.7578125,4,5,-9999,1539477701.992752,-5.915399074554443,-25.52250671386719,-36.28823852539062,234.8212280273438,221.4727020263672,15,14891.691025625,3,2,1539477701.861365,14888.991018,0,-44.41475,99.32912,1,0
1539477703.542414,27,0,0,1539477702.999947,37.76685664899439,-121.9589247555676,132.2558,0.92,229.921875,4,5,-9999,1539477702.996051,-16.94205093383789,-11.96341323852539,-49.740234375,207.4633331298828,194.1148071289062,15,14891.691025625,3,2,1539477701.861365,14890.88967,0,-44.44382,99.32946,1,0
1539477704.545401,28,0,0,1539477702.999947,37.76685664899439,-121.9589247555676,132.2558,0.92,229.921875,4,5,-9999,1539477704.003836,32.39944839477539,2.636243343353271,-67.24329376220703,164.4783020019531,151.1297760009766,15,14893.948750125,3,1,1539477704.11909,14891.838919,0,-44.44382,99.32946,1,0
1539477705.548638,29,0,0,1539477704.999945,37.7668439923206,-121.9589376636985,132.3216,0.94,344.1796875,4,5,-9999,1539477705.007269,31.07060241699219,-34.74519729614258,-47.75532150268555,134.5433502197266,121.19482421875,15,14893.948750125,3,1,1539477704.11909,14892.788355,0,-44.39626,99.3289,1,0
1539477706.552119,30,0,0,1539477704.999945,37.7668439923206,-121.9589376636985,132.3216,0.94,344.1796875,4,5,-9999,1539477706.010665,26.84894180297852,-70.97891998291016,-39.1293830871582,124.5038452148438,111.1553268432617,15,14895.8691675,3,1,1539477706.039507,14893.737837,0,-44.39626,99.3289,1,0
1539477707.555139,31,0,0,1539477706.999943,37.76683808307887,-121.9589453750494,131.997,0.42,294.9609375,4,5,-9999,1539477707.013684,-24.32440376281738,-123.6775054931641,-29.43151092529297,114.1391448974609,100.7906265258789,15,14896.5164335,3,2,1539477706.686773,14894.687355,0,-44.48346,99.32993,1,0
1539477708.558691,32,0,0,1539477706.999943,37.76683808307887,-121.9589453750494,131.997,0.42,294.9609375,4,5,-9999,1539477708.016981,-55.7347526550293,-52.96556091308594,-16.28890419006348,74.41659545898438,61.06807327270508,15,14896.5164335,3,2,1539477706.686773,14895.637175,0,-44.54951,99.33069,1,0
1539477709.569898,33,0,0,1539477708.999942,37.76684256739706,-121.9589514100197,131.9512,0.37,30.5859375,3,5,-9999,1539477709.020577,-42.46660995483398,-50.37245941162109,-15.36753559112549,80.65533447265625,67.30681610107422,15,14899.085857875,3,1,1539477709.256197,14896.588054,0,-44.61557,99.33148,1,0
